Sorting timing

N	time in seconds
1000	0.02949
100,000	0.109308
1,000,000	0.839812
10,000,000	6.123259
20,000,000	18.621435	
50,000,000	48.211341


Jacobi timings
Iterations		N			MPItask			Time

100			100			2			0.005236
1000			1000			2			3.321415
1000			1000			4			0.793615
1000			1000			16			0.612454
1000			10			1			0.000301
1000			100			1			0.013001
1000			100			4			0.034215
1000			1000			2			3.325124
1000			1000			4			0.793515           
1000                    1000                    64                      0.499155
1000			5000			1			76.132673
1000			5000			2			80.745591
1000			5000			8			61.464317
1000			5000			4			33.426291
1000                    5000                    64                      5.234154
1000			10000			1			301.245591
1000			10000			4			127.135413
1000                    10000                   64                      18.245132
